	exp1
09567	-0.103997949
02684	-0.105155944
01535	-0.105255572
01783	-0.106520711
01509	-0.106523583
00006	-0.108132558
01652	-0.115506319
03644	-0.120504793
03040	-0.125242024
01897	-0.127060548
19267	-0.127314842
10950	-0.127755425
00231	-0.12935356
13713	-0.134401809
03040	-0.13583797
17462	-0.137415333
21797	-0.138583026
17462	-0.142394332
09567	-0.142583994
01509	-0.144149972
19412	-0.146021353
00006	-0.146273838
17462	-0.146382632
00928	-0.147128329
00209	-0.14779276
01509	-0.150655331
09567	-0.151472829
09567	-0.152834932
01509	-0.153876181
00382	-0.154755207
00942	-0.159792735
01687	-0.160990184
01803	-0.165698079
01870	-0.167655576
08056	-0.170436357
03821	-0.17144219
01895	-0.171547698
7767ÿ	-0.172827384
03403	-0.174307416
10528	-0.174933988
17462	-0.175894906
00329	-0.175923629
01953	-0.176451922
17462	-0.177692151
01509	-0.179326542
17462	-0.179481016
09567	-0.183625151
09672	-0.185180948
02684	-0.188907206
15578	-0.189000734
09567	-0.191106941
01488	-0.191986217
00163	-0.196770423
02335	-0.199318114
21797	-0.200079466
00329	-0.201012022
01535	-0.202890085
01509	-0.203224181
17462	-0.204803028
01940	-0.205700333
02684	-0.207290183
01934	-0.210183194
19412	-0.210472032
01509	-0.213324781
02684	-0.214172808
02335	-0.223727942
01509	-0.224994198
00232	-0.226042508
00615	-0.228382599
13830	-0.228429391
17462	-0.237849353
19412	-0.238591453
03040	-0.23955634
00545	-0.242658576
00928	-0.246662646
03821	-0.247980581
10950	-0.249694998
01078	-0.254945738
17462	-0.25719989
01895	-0.2574653
02684	-0.261570897
01252	-0.262811644
12298	-0.263722834
00209	-0.263927103
09567	-0.263989971
19412	-0.273283796
01488	-0.274279889
17462	-0.275899701
05522	-0.277374133
19412	-0.279747848
01078	-0.281092811
13811	-0.286131125
09567	-0.288963647
09567	-0.294226448
01736	-0.298381233
07965	-0.300276001
02684	-0.303435096
00928	-0.305055683
01509	-0.30639703
01953	-0.306940322
01578	-0.307050158
01509	-0.307359974
07965	-0.307415239
17462	-0.308304919
01509	-0.308595827
03040	-0.311954475
01756	-0.313551334
09672	-0.313902294
01940	-0.317825557
7767ÿ	-0.318062433
17462	-0.318650486
17877	-0.323140161
01509	-0.325808421
02777	-0.326012198
01872	-0.32818172
01069	-0.328797177
01509	-0.329435475
11717	-0.331373707
01807	-0.335980906
00232	-0.338143273
02684	-0.339298421
17462	-0.339769183
12298	-0.340056676
03040	-0.340648166
19412	-0.341315627
09567	-0.34210634
19412	-0.343233234
08969	-0.343274602
01488	-0.34670907
01509	-0.351189437
03040	-0.352973604
01509	-0.357189032
01509	-0.359559597
01867	-0.362972238
01509	-0.364537939
12298	-0.36650123
00392	-0.371170913
03040	-0.375010764
17462	-0.375553796
01873	-0.376879322
03040	-0.37811214
19412	-0.381306319
15578	-0.384236372
01934	-0.384782021
02684	-0.385296827
00928	-0.386945695
03821	-0.389281504
18106	-0.39008203
18106	-0.391663635
21419	-0.398758945
09567	-0.400049745
01869	-0.401592179
11717	-0.401652049
03040	-0.407775585
08312	-0.407848789
03040	-0.411087259
01509	-0.414819486
13379	-0.41661022
09567	-0.418952268
00128	-0.420109197
03040	-0.421527229
01491	-0.421587959
01509	-0.42686716
01757	-0.427518696
01509	-0.427868356
01509	-0.437301659
02684	-0.437790752
13238	-0.439242536
00793	-0.439403084
17462	-0.441867491
12298	-0.447117507
00329	-0.450898881
15778	-0.451925267
00329	-0.456143224
12381	-0.457837614
00231	-0.459288885
01940	-0.460747988
01736	-0.465569289
01477	-0.466996617
01509	-0.470170234
13800	-0.473200622
03644	-0.475388285
09567	-0.476995416
09567	-0.479980187
17462	-0.481051227
00761	-0.481437136
09672	-0.482499405
17462	-0.489369189
17462	-0.49034222
01872	-0.495037339
12381	-0.49568945
17462	-0.503029587
01509	-0.505305932
19412	-0.506123975
01756	-0.50677534
18106	-0.508590984
01672	-0.509689933
02335	-0.510622956
14274	-0.513101785
03040	-0.514177695
00329	-0.515590573
01509	-0.515638211
17462	-0.517716316
01803	-0.518129251
01509	-0.519382829
17462	-0.520586863
01509	-0.521590108
10950	-0.530188089
01509	-0.532269664
09567	-0.532482961
00793	-0.533496966
01676	-0.533915436
01733	-0.540982609
01869	-0.544846413
09672	-0.547110237
00997	-0.548024474
01509	-0.549278381
01509	-0.549333057
09567	-0.550210174
00611	-0.551654752
01509	-0.551982518
03644	-0.552674418
17462	-0.559707986
12298	-0.567109122
01858	-0.567308217
09567	-0.570448678
00138	-0.571493804
01920	-0.571693865
01872	-0.580353391
01647	-0.581915199
01951	-0.583458757
00260	-0.588716903
01509	-0.590171073
09567	-0.590638804
17462	-0.590816268
01047	-0.591868343
01509	-0.59209972
09567	-0.596636001
02777	-0.598221051
01487	-0.59830304
09567	-0.601326632
07965	-0.603259357
01488	-0.60810961
03040	-0.608860349
02684	-0.608927728
01531	-0.613291601
13379	-0.613913331
00384	-0.613970173
01509	-0.614895616
18694	-0.616404291
00383	-0.617400694
01069	-0.617485697
01069	-0.623441159
01834	-0.626253037
00384	-0.626945027
01491	-0.627388635
13379	-0.632997359
02335	-0.63633734
17462	-0.637180307
01012	-0.63813912
15778	-0.63854363
01531	-0.640878967
01938	-0.646527186
01803	-0.646686539
03040	-0.648157402
00260	-0.648894467
00163	-0.649088533
03040	-0.651254827
02335	-0.654039937
02777	-0.654988959
01834	-0.659208545
00164	-0.659382927
01672	-0.663706656
01866	-0.665608279
00793	-0.66656623
09567	-0.66905993
01509	-0.669923767
00286	-0.670139866
01869	-0.670242299
08969	-0.67358269
02684	-0.674711503
01509	-0.67947967
17462	-0.679667073
00926	-0.679858485
00600	-0.67991653
01858	-0.684860498
02777	-0.685187431
09567	-0.68657683
17462	-0.689531859
01509	-0.694463918
01578	-0.696200206
01866	-0.697202871
01509	-0.697422538
01078	-0.702157851
12298	-0.706505251
01937	-0.706786732
03040	-0.708622717
01477	-0.711866943
17462	-0.715591258
02684	-0.716734519
13800	-0.71845343
01873	-0.722334001
00384	-0.724397396
01937	-0.728578152
03040	-0.729170387
01872	-0.730692871
00286	-0.731383399
03040	-0.734410205
03040	-0.734869681
17195	-0.73653088
00164	-0.740307736
19412	-0.740893635
01868	-0.741119606
17462	-0.741666353
01252	-0.744522001
00260	-0.745415394
01509	-0.751214791
01676	-0.751226823
01836	-0.752718683
01835	-0.754921074
17462	-0.755823721
03815	-0.756599193
17462	-0.764195223
02684	-0.765336333
01872	-0.765388551
01933	-0.770327799
18106	-0.770384093
13713	-0.771687721
13014	-0.775295085
01509	-0.778776679
17462	-0.787716717
08969	-0.788531152
03040	-0.798219442
01870	-0.799908669
00262	-0.803970612
01920	-0.804177039
00164	-0.804398325
03040	-0.80922277
02777	-0.813944682
00949	-0.819150192
01509	-0.821322049
17462	-0.823650182
17462	-0.829199471
19412	-0.840019343
03040	-0.841521333
01805	-0.842063994
21797	-0.843953698
09567	-0.843979095
01012	-0.851999012
01872	-0.854342169
02777	-0.863091477
01938	-0.863187559
04567	-0.87146766
01509	-0.873701271
01477	-0.874674631
01872	-0.876401178
19412	-0.88154354
01509	-0.894752114
01974	-0.895936048
02335	-0.898167098
01509	-0.90206063
00793	-0.902687271
01491	-0.903262242
10758	-0.904966611
01676	-0.90737769
00962	-0.915899987
00948	-0.924592552
00949	-0.92646954
03815	-0.927725466
01509	-0.927760939
01872	-0.9286306
08969	-0.932625335
02335	-0.93506141
03040	-0.949672001
01805	-0.953178755
01069	-0.953944407
03040	-0.964280392
00849	-0.986423786
09567	-0.988069109
02684	-0.989840151
00600	-0.998723826
09567	-1.003236066
17462	-1.010187921
00948	-1.012077857
00759	-1.012415443
17462	-1.013679219
01810	-1.013932849
12407	-1.021820335
12407	-1.022472803
17462	-1.022684773
17462	-1.023899508
08969	-1.029059842
01805	-1.035996263
01868	-1.036232291
10758	-1.041323322
01509	-1.044260801
17462	-1.046256494
02335	-1.056707755
01836	-1.057074712
01866	-1.059559369
03040	-1.059708547
21797	-1.06381152
21797	-1.079628539
03040	-1.082626131
04567	-1.09470587
04567	-1.098845259
01755	-1.09955303
01509	-1.110455661
17462	-1.12183913
01509	-1.122122303
17462	-1.139526759
01783	-1.141449676
17462	-1.146805472
19412	-1.148225843
17462	-1.155510487
01078	-1.162610511
14454	-1.166659557
17462	-1.167408846
03040	-1.202113129
01875	-1.203688858
12298	-1.203990579
01078	-1.206026155
12407	-1.207817561
19412	-1.215303443
01868	-1.244802667
01488	-1.245467376
09567	-1.261821803
02684	-1.262030101
02684	-1.266781756
12381	-1.271858349
01867	-1.275849363
01810	-1.277839122
01836	-1.298792425
01476	-1.31658619
02335	-1.325519413
03644	-1.343159587
01805	-1.352034521
17462	-1.425234273
02335	-1.435553053
19412	-1.458948725
01476	-1.499694717
01491	-1.509193674
17462	-1.510005051
01810	-1.510823793
02777	-1.522509534
17462	-1.536847557
01487	-1.597762422
18694	-1.613747964
08969	-1.620518578
19412	-1.781854483
00788	-1.872615229
01488	-2.850830089
