	exp1
00067	-1.226292357
06173	-1.227047807
00901	-1.26350844
06173	-1.371508594
00082	-1.408206447
06173	-1.41770167
00901	-1.759375874
08955	2.858633982
08955	2.493966224
00548	2.191268817
00548	2.108634856
00548	2.068441869
02515	2.050957309
00297	1.919103141
04564	1.895765845
00297	1.878364827
00297	1.858882412
00855	1.8220754
00903	1.818654135
06928	1.750764455
11864	1.604771142
18082	1.596861386
03178	1.555808533
11864	1.539855147
11188	1.473842762
00855	1.392699598
0763ÿ	1.38532639
00654	1.337556045
01847	1.325671645
05609	1.321577899
01581	1.320423944
01847	1.305892236
11188	1.305724065
0763ÿ	1.279732638
11262	1.275937584
03178	1.275721396
11262	1.254357281
09647	1.247889742
00903	1.234596838
00255	1.222767745
02515	1.220819941
03428	1.194103297
06928	1.189137886
00356	1.183994882
01110	1.158674893
11262	1.155754637
01689	1.150889912
08955	1.149222395
11262	1.148916644
02515	1.146111927
18082	1.141229487
01847	1.139318272
18082	1.13850205
01110	1.130433286
06928	1.124529832
01610	1.118725189
01623	1.112049099
00903	1.110542001
01495	1.107754922
02515	1.091945163
03178	1.089160871
01698	1.077256279
00768	1.076763727
11262	1.069876207
00854	1.057975653
00903	1.053870701
01875	1.048793661
00903	1.043932593
02515	1.041166515
09647	1.024854301
06928	1.020499388
00903	1.011920524
00134	1.00935641
00869	0.986873811
00218	0.98148162
00021	0.979579896
08955	0.979307852
00768	0.977732419
03178	0.970443896
02515	0.965206519
00218	0.956550596
02515	0.950276924
20215	0.949407525
01749	0.93869198
01623	0.937413707
09647	0.930312234
09647	0.929585695
09647	0.923433973
06928	0.91782593
00134	0.911597572
13721	0.908626739
00903	0.902839004
00854	0.902376266
00432	0.897417536
08070	0.893793518
03778	0.89274574
01495	0.889322697
00569	0.887789154
02515	0.878814622
08955	0.875924118
01599	0.87514645
00524	0.866958953
00058	0.856008971
01948	0.85539634
00010	0.854386594
02515	0.840162309
00033	0.837526222
00134	0.832597834
12350	0.829706449
03178	0.828112355
09647	0.827539113
00058	0.818296358
00432	0.816953273
00547	0.815980116
18082	0.809287357
11188	0.803709853
00021	0.799577858
01599	0.79577051
13721	0.791689243
00248	0.786842769
00025	0.784628381
09647	0.782369154
08955	0.778273761
00234	0.777275821
04564	0.776023583
00411	0.773209231
03178	0.76504482
06928	0.764843886
02515	0.763714106
06928	0.761708083
09647	0.758738961
03178	0.753550011
03178	0.748739528
00903	0.744443327
01724	0.741578656
04498	0.74096931
00903	0.74080195
09647	0.733473148
12350	0.727803046
00134	0.725927655
04498	0.72312852
00903	0.719426042
06928	0.714634706
09647	0.700550137
06928	0.697791167
01749	0.696623093
04498	0.69572236
05858	0.693442751
02641	0.6914363
00873	0.689016515
01724	0.686361457
09647	0.686293466
00276	0.686152121
01623	0.677854292
01599	0.677287598
01610	0.660326924
00888	0.652569328
03178	0.640530036
09647	0.637130402
01947	0.634108403
03178	0.629356877
00903	0.62665775
08658	0.626448776
00255	0.624323977
00248	0.620222905
01610	0.610653508
03178	0.608839806
03178	0.607507399
02515	0.607247118
00255	0.603509292
11262	0.598670167
14376	0.595837912
06928	0.58441763
00903	0.583660128
00569	0.581425242
01610	0.580412719
12077	0.579366498
08070	0.569915166
00819	0.569495353
00255	0.568530181
00861	0.568187095
03178	0.568046258
00873	0.566870993
09647	0.561110103
02515	0.558821318
18082	0.557051406
01692	0.551466211
01462	0.55132856
00025	0.550635769
09647	0.545887593
05609	0.543911953
09647	0.540881939
09647	0.534772031
03178	0.531241861
09647	0.530102457
00033	0.524094482
05858	0.520464787
08955	0.519475386
04498	0.516486996
01689	0.510998024
01825	0.50936866
01433	0.506584454
08070	0.50567871
01697	0.503810409
01825	0.503327484
04505	0.502984086
07304	0.50207888
09647	0.501678708
