	exp1	exp2
K04505	0.13053603	-0.071887391
K04505	0.129798035	0.861033422
K09756	0.128499838	0.292203219
K09756	0.127119859	0.485515357
K05955	0.125141861	0.40483241
K02515	0.115918876	0.017738758
K18082	0.114081932	0.674472169
K01623	0.113239103	-0.118726672
K08955	0.112814716	-0.220907636
K06928	0.108622181	-0.287232915
K02515	0.107891886	-2.620800375
K02372	0.105931646	0.425530078
K05609	0.105166922	0.855050152
K06118	0.096254929	0.481978732
K03178	0.0957612	-0.61867749
K04505	0.09215188	1.20259632
K13829	0.084820231	0.14043544
K06928	0.084612954	1.520004034
K01551	0.083897067	0.504440357
K00255	0.083564247	0.141242935
K03178	0.079902295	0.321648825
K00411	0.078842874	0.510370053
K02515	0.075972798	0.156597258
K01764	0.072097269	0.301332198
K11188	0.071672858	-0.065496249
K04498	0.057075871	0.428278627
K02515	0.055718362	0.127351125
K07508	0.05446408	0.313451672
K00255	0.053494441	0.86903721
K01074	0.053202043	0.458577284
K09756	0.052990914	-0.333689583
K13821	0.05050231	0.468867442
K00826	0.048932632	-0.007668338
K04505	0.047468325	-0.332756408
K00234	0.046143905	0.616671961
K06928	0.045658329	0.258649798
K00654	0.040545362	-0.350712571
K00859	0.039948945	-0.460351842
K00826	0.038934554	-0.316364928
K01110	0.034312652	0.616497666
K00645	0.033455814	-0.362934269
K04040	0.033367151	1.240188142
K00859	0.028988656	-0.54993051
K01623	0.028875447	0.262774441
K10150	0.02740003	-0.116567202
K13721	0.02667913	0.142397605
K03178	0.026412913	1.260747294
K01110	0.025228065	-0.296639104
K00432	0.022411863	1.725265171
K06928	0.021288714	0.240287315
K09647	0.02037891	0.405561103
K01526	0.015225194	0.587034475
K01164	0.015025123	0.119787306
K01183	0.014575186	0.098233828
K00981	0.013444139	0.671690418
K00234	0.013194517	0.62760611
K00276	0.011925381	0.447314459
K00903	0.009726914	-0.269824548
K13721	0.00674536	0.725571022
K08099	0.006719002	-0.206771183
K00411	0.005941734	0.302261405
K13421	0.003963672	-2.028899499
K03527	0.003192959	0.104147852
K01710	0.003082536	0.342430807
K07304	0.002864124	1.197933154
K00826	0.002242695	0.543087259
K00255	0.000929002	0.733615482
K03178	-0.003701654	0.317204826
K02515	-0.004850057	0.392507747
K09756	-0.00550349	0.230575017
K05609	-0.005515229	-0.227320146
K02515	-0.007265414	-0.630945586
K09647	-0.007380171	-0.921934183
K03439	-0.007494327	-1.524101746
K06118	-0.009023366	0.574673179
K00031	-0.010362235	-0.56701057
K10150	-0.010720412	-0.140880733
K03178	-0.014073976	-1.196459884
K06928	-0.014112994	0.174171286
K04498	-0.014893697	-0.226106181
K08658	-0.015314231	0.538412302
K09647	-0.016291465	0.15840964
K09647	-0.017536648	-1.612702354
K00573	-0.019869448	0.355341908
K02515	-0.022917106	-0.92683716
K04564	-0.024510384	0.340537151
K07508	-0.033674548	0.23671434
K00903	-0.034945027	0.524948741
K02515	-0.035369159	-0.35805113
K00864	-0.038122177	0.045928786
K13721	-0.042416445	0.671551645
K05609	-0.043933428	-0.682375877
K07304	-0.044945039	0.189625606
K13917	-0.045691986	0.001455372
K01754	-0.046361435	0.367320803
K03165	-0.049349231	-0.070645706
K02515	-0.050545266	-0.47072966
K00903	-0.052395949	0.064260185
K03178	-0.052455906	-0.40612738
K04498	-0.055618736	-0.43931115
K00573	-0.055684918	0.518116491
K00873	-0.056234815	0.009511531
K00903	-0.058893194	0.094187872
K04505	-0.060867215	-0.612465658
K01110	-0.061077093	0.1914371
K01164	-0.061493535	0.02875034
K18082	-0.061965896	0.646419936
K01611	-0.066537626	-0.385022884
K03178	-0.066542269	0.724527594
K08955	-0.069858023	0.038928965
K08955	-0.072734938	0.604149188
K03527	-0.073257818	0.179956944
K04564	-0.073786083	0.653632613
K06928	-0.074786654	0.165795335
K03526	-0.075232707	0.08130972
K09647	-0.082362669	-1.52506084
K00031	-0.083642908	-0.374299726
K05858	-0.083918047	-0.346231744
K01711	-0.084286143	-0.675153541
K08955	-0.087295492	-0.956401481
K00903	-0.089983385	-0.036048295
K01626	-0.091733451	-0.860031088
K19389	-0.092966873	0.138713666
K03178	-0.10514102	-0.005171365
K00606	-0.108349146	-0.551605403
K08955	-0.11358649	-0.395077306
K00903	-0.11457266	0.264219536
K01170	-0.11465441	-0.020053506
K20772	-0.115098231	-0.22222356
K00033	-0.119311753	0.163536293
K03178	-0.119583544	0.18449517
K01626	-0.119937935	-0.926951725
K02515	-0.124291009	0.036943722
K00868	-0.127527887	0.47971557
K03178	-0.130435762	-0.853363015
K00031	-0.135386541	-0.518815648
K00903	-0.137268354	-0.03387936
K03526	-0.137672725	0.249693895
K09647	-0.138529204	0.074643832
K00903	-0.140266445	-1.390536004
K08955	-0.144913876	0.210366847
K07304	-0.147579041	0.559719195
K01110	-0.151292128	-0.07755834
K02515	-0.15230686	0.532690219
K00873	-0.15295654	-0.036864719
K01057	-0.153721408	0.073617809
K01074	-0.155729192	0.203430449
K04498	-0.160318404	0.191645609
K09647	-0.160777872	-0.071200094
K00903	-0.161580838	0.090621622
K09647	-0.168183145	-0.961553905
K00860	-0.171195612	-0.860842057
K00903	-0.172672075	-1.254900133
K03526	-0.173717149	0.098523015
K06928	-0.174183632	0.187929915
K01597	-0.176753026	0.173404782
K02515	-0.177867584	-0.160743556
K11126	-0.177976454	-0.072983044
K05609	-0.183244498	-0.14209401
K01110	-0.186340764	0.695036961
K03526	-0.186766555	0.25532085
K06928	-0.186886516	-0.276451446
K00903	-0.188882573	-0.321719787
