	exp1	exp2
K17462	-0.441867491	-0.651978687
K12298	-0.447117507	-0.531815537
K00329	-0.450898881	-0.707837156
K15778	-0.451925267	0.898962546
K00329	-0.456143224	0.037776458
K12381	-0.457837614	-0.430240227
K00231	-0.459288885	1.104475808
K01940	-0.460747988	-0.957458544
K01736	-0.465569289	-0.041426347
K01477	-0.466996617	-0.377373109
K01509	-0.470170234	-0.231652819
K13800	-0.473200622	-0.40491245
K03644	-0.475388285	0.101087833
K09567	-0.476995416	0.04532713
K09567	-0.479980187	-1.153891683
K17462	-0.481051227	0.231962859
K00761	-0.481437136	0.575640947
K09672	-0.482499405	0.165085873
K17462	-0.489369189	-0.073398841
K17462	-0.49034222	-2.32032617
K01872	-0.495037339	-0.490536664
K12381	-0.49568945	-0.653478768
K17462	-0.503029587	-1.106084756
K01509	-0.505305932	-0.72166384
K19412	-0.506123975	0.631750315
K01756	-0.50677534	-1.346749248
K18106	-0.508590984	0.462852753
K01672	-0.509689933	-0.418975203
K02335	-0.510622956	-0.153930129
K14274	-0.513101785	-0.284398279
K03040	-0.514177695	-0.650281265
K00329	-0.515590573	-1.194823612
K01509	-0.515638211	-1.348212052
K17462	-0.517716316	-1.170699176
K01803	-0.518129251	0.209070775
K01509	-0.519382829	-0.420818162
K17462	-0.520586863	0.224293032
K01509	-0.521590108	0.124742459
K10950	-0.530188089	-0.097694127
K01509	-0.532269664	0.601778758
K09567	-0.532482961	-0.362003354
K00793	-0.533496966	-0.208971054
K01676	-0.533915436	-0.291754337
K01733	-0.540982609	0.091978896
K01869	-0.544846413	-0.340573879
K09672	-0.547110237	-0.133006802
K00997	-0.548024474	-0.323180949
K01509	-0.549278381	-1.585392143
K01509	-0.549333057	-1.140662107
K09567	-0.550210174	-0.075043455
K00611	-0.551654752	0.093415569
K01509	-0.551982518	-0.443297039
K03644	-0.552674418	0.179503406
K17462	-0.559707986	-1.061581492
K12298	-0.567109122	0.221655643
K01858	-0.567308217	-0.111236416
K09567	-0.570448678	1.238933924
K00138	-0.571493804	0.092780572
K01920	-0.571693865	-0.503448673
K01872	-0.580353391	-0.183141938
K01647	-0.581915199	-1.602155426
K01951	-0.583458757	-1.233284588
K00260	-0.588716903	-0.434247792
K01509	-0.590171073	1.011591535
K09567	-0.590638804	-1.002724813
K17462	-0.590816268	-0.713773306
K01047	-0.591868343	0.359234822
K01509	-0.59209972	-0.569697602
K09567	-0.596636001	0.515086583
K02777	-0.598221051	-0.623790278
K01487	-0.59830304	0.458364056
K09567	-0.601326632	0.004512008
K07965	-0.603259357	-0.187081146
K01488	-0.60810961	-1.13273732
K03040	-0.608860349	-0.123689323
K02684	-0.608927728	-0.394232653
K01531	-0.613291601	0.188947407
K13379	-0.613913331	0.061256458
K00384	-0.613970173	-0.225955336
K01509	-0.614895616	-0.510027606
K18694	-0.616404291	-0.211286389
K00383	-0.617400694	0.436872073
K01069	-0.617485697	0.616046034
K01069	-0.623441159	0.130317936
K01834	-0.626253037	-0.14066321
K00384	-0.626945027	-0.50556295
K01491	-0.627388635	0.340042422
K13379	-0.632997359	0.30894307
K02335	-0.63633734	-0.90124683
K17462	-0.637180307	0.486231168
K01012	-0.63813912	0.105929777
K15778	-0.63854363	1.00696293
K01531	-0.640878967	0.101864602
K01938	-0.646527186	0.316481455
K01803	-0.646686539	-0.816502522
K03040	-0.648157402	-0.992181199
K00260	-0.648894467	-0.616269222
K00163	-0.649088533	-1.499991228
K03040	-0.651254827	-0.097463654
K02335	-0.654039937	-0.497577075
K02777	-0.654988959	0.494798487
K01834	-0.659208545	-0.227512306
K00164	-0.659382927	-1.745815151
K01672	-0.663706656	-0.24161693
K01866	-0.665608279	-0.208451536
K00793	-0.66656623	0.677287294
K09567	-0.66905993	-0.403957279
K01509	-0.669923767	-1.551945726
K00286	-0.670139866	0.292377161
K01869	-0.670242299	-0.587846485
K08969	-0.67358269	-0.68121702
K02684	-0.674711503	-0.350953799
K01509	-0.67947967	-0.040738045
K17462	-0.679667073	-1.579225696
K00926	-0.679858485	-1.491072512
K00600	-0.67991653	0.10036897
K01858	-0.684860498	-0.152849761
K02777	-0.685187431	-0.062679481
K09567	-0.68657683	0.284705388
K17462	-0.689531859	-0.852486555
K01509	-0.694463918	-0.574949052
K01578	-0.696200206	-0.491937735
K01866	-0.697202871	-1.271663812
K01509	-0.697422538	-0.907756206
K01078	-0.702157851	0.16743183
K12298	-0.706505251	-0.237479768
K01937	-0.706786732	-1.312662619
K03040	-0.708622717	-1.920043979
K01477	-0.711866943	-0.419383254
K17462	-0.715591258	-0.059893255
K02684	-0.716734519	-0.39627605
K13800	-0.71845343	-0.170419566
K01873	-0.722334001	-1.148405082
K00384	-0.724397396	-0.087076366
K01937	-0.728578152	-0.760528846
K03040	-0.729170387	-1.080404307
K01872	-0.730692871	-0.326900161
K00286	-0.731383399	-0.301993256
K03040	-0.734410205	0.081932144
K03040	-0.734869681	-0.764371158
K17195	-0.73653088	0.317561021
K00164	-0.740307736	-1.729664964
K19412	-0.740893635	0.531200857
K01868	-0.741119606	-0.449831769
K17462	-0.741666353	-0.438203728
K01252	-0.744522001	-0.382216762
K00260	-0.745415394	1.029169065
K01509	-0.751214791	-0.242702876
K01676	-0.751226823	-0.310983604
K01836	-0.752718683	0.901437555
K01835	-0.754921074	-0.123637406
K17462	-0.755823721	0.243281861
K03815	-0.756599193	-0.28631276
K17462	-0.764195223	1.591439805
K02684	-0.765336333	-0.345818726
K01872	-0.765388551	-0.941642441
K01933	-0.770327799	-2.492138496
K18106	-0.770384093	0.611881513
K13713	-0.771687721	-0.431112747
K13014	-0.775295085	0.010651682
K01509	-0.778776679	0.051928581
K17462	-0.787716717	-0.423036181
K08969	-0.788531152	0.313938086
K03040	-0.798219442	-0.235289865
K01870	-0.799908669	-0.447941582
K00262	-0.803970612	-0.197868901
K01920	-0.804177039	-0.699117679
K00164	-0.804398325	-1.759082752
K03040	-0.80922277	-0.40503844
K02777	-0.813944682	-0.397285613
K00949	-0.819150192	0.092680534
K01509	-0.821322049	-0.364273047
K17462	-0.823650182	-3.468204736
K17462	-0.829199471	-0.266562431
K19412	-0.840019343	0.000527999
K03040	-0.841521333	-0.851775028
K01805	-0.842063994	-0.82578809
K21797	-0.843953698	-0.616619183
K09567	-0.843979095	0.394372163
K01012	-0.851999012	-0.3905258
K01872	-0.854342169	-0.253476208
K02777	-0.863091477	-0.482356633
K01938	-0.863187559	0.492866371
K04567	-0.87146766	-1.699680044
K01509	-0.873701271	0.197588221
K01477	-0.874674631	-0.216991466
K01872	-0.876401178	-0.881975758
K19412	-0.88154354	0.043110508
K01509	-0.894752114	-0.829154233
K01974	-0.895936048	-0.289380802
K02335	-0.898167098	-0.090479329
K01509	-0.90206063	-0.479315287
K00793	-0.902687271	-0.061292587
K01491	-0.903262242	-1.325812432
K10758	-0.904966611	-0.32401169
K01676	-0.90737769	-0.585682433
K00962	-0.915899987	-0.448624322
K00948	-0.924592552	-0.482156063
K00949	-0.92646954	-0.314291156
K03815	-0.927725466	-1.235904152
K01509	-0.927760939	0.258245941
K01872	-0.9286306	-0.490210608
K08969	-0.932625335	0.072429038
K02335	-0.93506141	-0.774774318
K03040	-0.949672001	-1.672749397
K01805	-0.953178755	-0.495333675
K01069	-0.953944407	0.486829259
K03040	-0.964280392	-1.461932059
K00849	-0.986423786	0.439017279
K09567	-0.988069109	0.551451372
K02684	-0.989840151	-0.01116725
K00600	-0.998723826	0.364652498
K09567	-1.003236066	-0.732463603
K17462	-1.010187921	-0.458512205
K00948	-1.012077857	-1.620289349
K00759	-1.012415443	-0.799152124
K17462	-1.013679219	0.591624191
K01810	-1.013932849	-1.043965997
K12407	-1.021820335	0.399024997
K12407	-1.022472803	0.254433645
K17462	-1.022684773	-1.15671178
K17462	-1.023899508	-1.196639951
K08969	-1.029059842	-0.411058641
K01805	-1.035996263	-0.305239724
K01868	-1.036232291	-0.474404403
K10758	-1.041323322	-0.795475399
K01509	-1.044260801	-0.946622978
K17462	-1.046256494	-0.141767114
K02335	-1.056707755	-0.348669069
K01836	-1.057074712	0.982532627
K01866	-1.059559369	-0.445666934
K03040	-1.059708547	-2.530053238
K21797	-1.06381152	-0.716886979
K21797	-1.079628539	-0.2341976
K03040	-1.082626131	-0.54861511
K04567	-1.09470587	-1.626370083
K04567	-1.098845259	-1.132665352
K01755	-1.09955303	-0.683948501
K01509	-1.110455661	-0.941383846
K17462	-1.12183913	-0.582601816
K01509	-1.122122303	-0.682696761
K17462	-1.139526759	-0.830033543
K01783	-1.141449676	-1.031601759
K17462	-1.146805472	0.088582495
K19412	-1.148225843	-0.362631793
K17462	-1.155510487	-0.823995524
K01078	-1.162610511	-0.20938563
K14454	-1.166659557	-0.996039543
K17462	-1.167408846	-1.076583428
K03040	-1.202113129	0.066584779
K01875	-1.203688858	-1.425607592
K12298	-1.203990579	-0.898664009
K01078	-1.206026155	-0.391021877
K12407	-1.207817561	0.286174915
K19412	-1.215303443	-1.304784667
K01868	-1.244802667	-1.210126511
K01488	-1.245467376	0.369436502
K09567	-1.261821803	-0.573589287
K02684	-1.262030101	-0.403987205
K02684	-1.266781756	0.623324618
K12381	-1.271858349	-2.110801372
K01867	-1.275849363	-0.395992538
K01810	-1.277839122	-1.198473222
K01836	-1.298792425	0.634644417
K01476	-1.31658619	-0.646845657
K02335	-1.325519413	-0.858643192
K03644	-1.343159587	-0.788508117
K01805	-1.352034521	-0.51778892
K17462	-1.425234273	-2.545540686
K02335	-1.435553053	-0.167028797
K19412	-1.458948725	0.033704951
K01476	-1.499694717	-1.059152113
K01491	-1.509193674	-1.7123749
K17462	-1.510005051	-0.099076125
K01810	-1.510823793	-1.331753699
K02777	-1.522509534	-0.732404903
K17462	-1.536847557	1.868332558
K01487	-1.597762422	0.530970459
K18694	-1.613747964	-0.290961157
K08969	-1.620518578	-0.608376117
K19412	-1.781854483	-0.916028376
K00788	-1.872615229	-0.9448111
K01488	-2.850830089	-1.667556082
